source,target
20540423,18225
20540423,804055
20540423,882541
20540423,2342695
20540423,2434894
20540423,2561912
20540423,2679683
20540423,2755430
20540423,2819871
20540423,3162005
20540423,3516573
20540423,3592181
20540423,4319248
20540423,4899896
20540423,5122451
20540423,5182884
20540423,5412538
20540423,6778567
20540423,7068115
20540423,9465012
20540423,10595602
20540423,11184009
20540423,11486365
20540423,11737222
20540423,13407218
20540423,13745026
20540423,13878400
20540423,14209968
20540423,15934439
20540423,16167285
20540423,16631221
20540423,17868264
20540423,19014599
20540423,19715588
20540423,20943231
20540423,21662734
20540423,25272103
20540423,27295103
20540423,28080513
20540423,29738114
20540423,30363880
20540423,30746545
20540423,31053578
20540423,31601145
20540423,32927049
20540423,33358290
20540423,37738523
20540423,37937231
20540423,38529651
20540423,39259872
20540423,39706005
20540423,41860561
20540423,42833762
20540423,43684296
20540423,45658308
20540423,47440973
20540423,48430127
20540423,49824172
20540423,50001995
20540423,50391422
20540423,51122129
20540423,52102149
20540423,54370036
20540423,54596239
20540423,55903054
20540423,56383595
20540423,58810322
20540423,58933402
20540423,59529045
20540423,59690880
20540423,61579806
20540423,61803722
20540423,62415542
20540423,62436037
20540423,63508471
20540423,64627775
20540423,64667649
20540423,64785842
20540423,70597928
20540423,71048169
20540423,71376755
20540423,71835118
20540423,71871920
20540423,72428439
20540423,73093581
20540423,73394972
20540423,76295688
20540423,77620503
20540423,78354546
20540423,78830886
20540423,80275927
20540423,80599063
20540423,80805436
20540423,81929320
20540423,82097467
20540423,82554167
20540423,84991855
20540423,85699916
20540423,89253027
20540423,90898132
20540423,92636598
20540423,93180719
20540423,94398560
20540423,96044166
20540423,96054294
20540423,96092410
20540423,97437215
20540423,98380281
20540423,98875687
20540423,101025819
20540423,101135008
20540423,101651088
20540423,104187732
20540423,106771900
20540423,106922936
20540423,107521521
20540423,108731928
20540423,110900240
20540423,111088204
20540423,112602991
20540423,113431471
20540423,121656226
20540423,122220742
20540423,123413148
20540423,123985120
20540423,124323828
20540423,126726944
20540423,132556856
20540423,133598695
20540423,133662654
20540423,134638128
20540423,136114821
20540423,137034119
20540423,137038249
20540423,137358182
20540423,137471930
20540423,137668547
20540423,137769466
20540423,138096779
20540423,139814458
20540423,140265757
20540423,140799451
20540423,142695170
20540423,144193327
20540423,145455265
20540423,148067226
20540423,149038024
20540423,150882532
20540423,151152614
20540423,153872816
20540423,154309574
20540423,156035067
20540423,156491807
20540423,156940752
20540423,157002499
20540423,157252827
